Screen Resolution	Browser	Browser Version	Device Type	Device	OS	OS Version	User Agent	Traffic Source	Combination Id	Converted	Conversion Time	Returning Visitor	Hit Time	User Language	URL	Referring URL	City	Region	Country	Goal 1 Converted	Goal 1 Converted Time
375x667	Mobile Safari	11	Mobile	iPhone	iOS	11.2.6	Mozilla/5.0 (iPhone CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML like Gecko) Version/11.0 Mobile/15D100 Safari/604.1	search_traffic	1	Yes		FALSE	2018-03-22T08:47:43	en-sg	https://www.mastersportal.eu/study-options/269353188/complementary-alternative-medicine-canada.html	https://www.google.com.sg/	Barcelona	Catalonia	Spain
360x640	Chrome Mobile	35.0.1916	Mobile	Samsung GT-N7100	Android	4.4.2	Mozilla/5.0 (Linux Android 4.4.2 GT-N7100 Build/KOT49H) AppleWebKit/537.36 (KHTML like Gecko) Chrome/35.0.1916.141 Mobile Safari/537.36	unknown	2	Yes		FALSE	2018-03-22T08:47:43	en-gb		https://www.google.co.in/	Barcelona	Catalonia	Spain
1360x768	Chrome	64.0.3282	Desktop	Other	Windows 7		Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/64.0.3282.186 Safari/537.36	search_traffic	2	No		TRUE	2018-03-22T08:47:44	en-us	https://www.mastersportal.eu/study-options/269353083/geology-canada.html	https://www.google.com.np/	Kathmandu		Nepal
1080x1920	UC Browser	11.0.5	Mobile	S6s	Android	6	Mozilla/5.0 (Linux U Android 6.0 en-US S6s Build/MRA58K) AppleWebKit/534.30 (KHTML like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30	direct_traffic	1	No		FALSE	2018-03-22T08:47:46	en-us	https://www.mastersportal.eu/studies/98565/pharmaceutical-sciences.html		Lagos	Lagos	Nigeria
384x640	Chrome Mobile	38.0.1025	Mobile	Nexus 5	Android	4.2.1	Mozilla/5.0 (Linux Android 4.2.1 en-us Nexus 5 Build/JOP40D) AppleWebKit/535.19 (KHTML like Gecko googleweblight) Chrome/38.0.1025.166 Mobile Safari/535.19	direct_traffic	1	No		FALSE	2018-03-22T08:47:46	en-us	https://www.mastersportal.eu/studies/131545/industrial-organizational-psychology-and-human-resource-management.html		Brooklyn	New York	United States
1707x960	IE	11	Desktop	Other	Windows 10		Mozilla/5.0 (Windows NT 10.0 WOW64 Trident/7.0 Touch rv:11.0) like Gecko	unknown	1	No		FALSE	2018-03-22T08:47:47	ko-kr	https://www.mastersportal.com/studies/144523/computational-sciences.html	https://www.mastersportal.eu/study-options/269352984/computer-science-it-canada.html	Seoul	Seoul-t'ukpyolsi	"Korea, Republic of"
768x1024	Mobile Safari	11	Tablet	iPad	iOS	11.2.6	Mozilla/5.0 (iPad CPU OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML like Gecko) Version/11.0 Mobile/15D100 Safari/604.1	unknown	1	No		TRUE	2018-03-22T08:47:48	es-es	https://www.mastersportal.com/universities/1906/university-of-gothenburg-faculty-of-science.html	https://www.mastersportal.com/studies/430/physics.html?	Zaragoza	Aragon	Spain
1366x768	Chrome	64.0.3282	Desktop	Other	Windows 10		Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/64.0.3282.186 Safari/537.36	unknown	1	No		FALSE	2018-03-22T08:47:48	en-us	https://www.mastersportal.com/studies/13493/learning-learning-environments-and-educational-systems.html	https://www.mastersportal.eu/study-options/268582920/education-finland.html	Auckland	Auckland	New Zealand
1600x900	Chrome	64.0.3282	Desktop	Other	Windows 7		Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/64.0.3282.186 Safari/537.36	unknown	1	No		FALSE	2018-03-22T08:47:49	en-us	https://www.mastersportal.com/studies/155370/european-culture.html	https://www.mastersportal.com/search/	Tbilisi	Dushet'is Raioni	Georgia
1366x768	Firefox	53	Desktop	Other	Windows 10		Mozilla/5.0 (Windows NT 10.0 WOW64 rv:53.0) Gecko/20100101 Firefox/53.0	unknown	1	No		FALSE	2018-03-22T08:47:49	en-us	https://www.mastersportal.com/studies/10832/mechanical-engineering.html	https://www.mastersportal.com/study-options/268615719/mechanical-engineering-germany.html	Thrissur	Kerala	India
360x640	Chrome Mobile	65.0.3325	Mobile	Samsung SM-G610F	Android	7	Mozilla/5.0 (Linux Android 7.0 SM-G610F Build/NRD90M) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36	unknown	1	No		FALSE	2018-03-22T08:47:49	en-gb	https://www.mastersportal.com/studies/217125/inclusive-education.html	https://www.mastersportal.com/search/	Kathmandu		Nepal
1360x768	Chrome	64.0.3282	Desktop	Other	Windows 7		Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/64.0.3282.186 Safari/537.36	unknown	2	No		FALSE	2018-03-22T08:47:51	en-us	https://www.mastersportal.com/universities/12328/university-of-manitoba.html	https://www.mastersportal.eu/study-options/269353083/geology-canada.html	Kathmandu		Nepal
1024x576	Chrome	64.0.3282	Desktop	Other	Windows 7		Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/64.0.3282.186 Safari/537.36	unknown	2	No		FALSE	2018-03-22T08:47:52	en-us	https://www.mastersportal.com/universities/333/oslo-and-akershus-university-college-of-applied-sciences.html	https://www.mastersportal.com/articles/1042/tuition-free-universities-in-finland-norway-and-germany-in-2018.html	Abuja	Niger	Nigeria
1024x768	Chrome	65.0.3325	Desktop	Other	Windows 7		Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.181 Safari/537.36	unknown	2	No		FALSE	2018-03-22T08:47:52	fr-fr	https://www.mastersportal.com/studies/130738/public-health.html	https://www.mastersportal.com/search/	Tlemcen	Tlemcen	Algeria
768x1024	Mobile Safari	8	Tablet	iPad	iOS	8.3	Mozilla/5.0 (iPad CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4	unknown	1	No		FALSE	2018-03-22T08:47:53	it-it		https://www.google.it/	Giarre	Sicilia	Italy
1366x768	Chrome	65.0.3325	Desktop	Other	Windows 8.1		Mozilla/5.0 (Windows NT 6.3 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.181 Safari/537.36	unknown	2	No		FALSE	2018-03-22T08:47:52	en-us	https://www.mastersportal.com/universities/10875/liepaja-university.html	https://www.mastersportal.com/studies/46241/information-technology.html?	Colombo	Western	Sri Lanka
414x736	Mobile Safari	11	Mobile	iPhone	iOS	11.2.6	Mozilla/5.0 (iPhone CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML like Gecko) Version/11.0 Mobile/15D100 Safari/604.1	search_traffic	2	No		FALSE	2018-03-22T08:47:53	en-gb	https://www.mastersportal.eu/study-options/268927088/forensic-science-united-kingdom.html	https://www.google.co.uk/	Newcastle Upon Tyne	Newcastle upon Tyne	United Kingdom
1440x900	Chrome	65.0.3325	Desktop	Other	Mac OS X	10.12.6	Mozilla/5.0 (Macintosh Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.181 Safari/537.36	unknown	2	No		FALSE	2018-03-22T08:47:53	de-de	https://www.mastersportal.com/universities/15783/nottingham-trent-university-online.html	https://www.distancelearningportal.com/articles/294/10-top-uk-universities-ideal-for-distance-learning.html	Munich	Bayern	Germany
