Screen Resolution	Browser	Browser Version	Device Type	Device	OS	OS Version	User Agent	Traffic Source	Combination Id	Converted	Conversion Time	Returning Visitor	Hit Time	User Language	URL	Referring URL	City	Region	Country	Goal 1 Converted	Goal 1 Converted Time
1366x768	Chrome	65.0.3325	Desktop	Other	Windows 10		Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.181 Safari/537.36	search_traffic	2	No		TRUE	2018-03-29T07:19:46	es-es	https://www.mastersportal.com/study-options/269778968/computer-science-it-united-states.html	https://www.google.com.mx/			Mexico
1920x1080	Chrome	65.0.3325	Desktop	Other	Windows 8.1		Mozilla/5.0 (Windows NT 6.3 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.181 Safari/537.36	search_traffic	1	No		FALSE	2018-03-29T07:19:49	en-us	https://www.mastersportal.com/articles/2093/motivation-letter-example-student-applying-to-master-in-international-information-systems.html	https://www.google.com.eg/	Cairo	Al Qahirah	Egypt
412x823	Chrome Mobile	65.0.3325	Mobile	Generic Smartphone	Android	8	Mozilla/5.0 (Linux Android 8.0.0 Build/OPR1.170623.032) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36	search_traffic	2	No		FALSE	2018-03-29T07:19:49	en-gb	https://www.mastersportal.com/study-options/269779014/archaeology-united-states.html	http://www.google.com/	Delhi	Delhi	India
360x640	Chrome Mobile	65.0.3325	Mobile	VTR-L09	Android	7	Mozilla/5.0 (Linux Android 7.0 VTR-L09 Build/HUAWEIVTR-L09) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36	unknown	2	No		FALSE	2018-03-29T07:19:50	sl-si	https://www.mastersportal.com/universities/977/esmt-berlin.html	https://www.mastersportal.com/cities/23/berlin.html	Ljubljana	Ljubljana	Slovenia
1440x900	Chrome	65.0.3325	Desktop	Other	Mac OS X	10.12.6	Mozilla/5.0 (Macintosh Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.162 Safari/537.36	unknown	2	No		FALSE	2018-03-29T07:19:53	fr-fr	https://www.mastersportal.com/	https://www.mastersportal.eu/?utm_source=cp_stx&utm_medium=small_button&utm_campaign=mp_advsearch	Braine-l'alleud	Brabant Wallon	Belgium
1440x900	Chrome	64.0.3282	Desktop	Other	Mac OS X	10.10.5	Mozilla/5.0 (Macintosh Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML like Gecko) Chrome/64.0.3282.186 Safari/537.36	unknown	1	No		FALSE	2018-03-29T07:19:53	es	https://www.mastersportal.com/universities/11748/nanyang-technological-university.html	https://www.distancelearningportal.com/countries/133/singapore.html	Tokyo	Tokyo	Japan
360x640	Chrome Mobile	65.0.3325	Mobile	Mi A1	Android	8	Mozilla/5.0 (Linux Android 8.0.0 Mi A1 Build/OPR1.170623.026) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36	unknown	2	No		FALSE	2018-03-29T07:19:53	en-gb	https://www.mastersportal.com/studies/20365/geography.html	https://www.mastersportal.com/search/	Oslo	Oslo	Norway
1366x768	Chrome	65.0.3325	Desktop	Other	Windows 10		Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.181 Safari/537.36	search_traffic	1	No		FALSE	2018-03-29T07:19:55	en-us	https://www.mastersportal.com/study-options/268615714/electrical-engineering-germany.html	https://www.google.com.pk/	Abbottabad	North-West Frontier	Pakistan
375x667	Mobile Safari	11	Mobile	iPhone	iOS	11.2.6	Mozilla/5.0 (iPhone CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML like Gecko) Version/11.0 Mobile/15D100 Safari/604.1	search_traffic	1	No		FALSE	2018-03-29T07:19:59	en-us	https://www.mastersportal.com/study-options/268894438/health-sciences-turkey.html	https://www.google.com/	Saline	Michigan	United States
1366x768	Chrome	65.0.3325	Desktop	Other	Windows 10		Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.181 Safari/537.36	search_traffic	1	No		FALSE	2018-03-29T07:20:06	en-us	https://www.mastersportal.eu/studies/16615/tourism-destination-development.html	https://www.google.co.in/	Ludhiana	Punjab	India
1600x1200	Firefox	59	Desktop	Other	Windows 7		Mozilla/5.0 (Windows NT 6.1 Win64 x64 rv:59.0) Gecko/20100101 Firefox/59.0	unknown	1	No		FALSE	2018-03-29T07:20:11	en-us	https://www.mastersportal.com/universities/227/robert-gordon-university.html	https://www.mastersportal.eu/studies/40425/oil-and-gas-information-technology.html	Nancy	Lorraine	France
412x846	Chrome Mobile	65.0.3325	Mobile	Samsung SM-N950F	Android	7.1.1	Mozilla/5.0 (Linux Android 7.1.1 SM-N950F Build/NMF26X) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36	search_traffic	1	No		FALSE	2018-03-29T07:20:10	vi	https://www.mastersportal.com/articles/1042/tuition-free-universities-in-finland-norway-and-germany-in-2018.html	android-app://com.google.android.googlequicksearchbox	Ho Chi Minh City	Thai Binh	Vietnam
1152x864	Chrome	67.0.3381	Desktop	Other	Windows 7		Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/67.0.3381.1 Safari/537.36	unknown	2	No		FALSE	2018-03-29T07:20:12	en-us	https://www.mastersportal.com/studies/153089/transportation-and-infrastructure-engineering.html	https://www.mastersportal.com/search/			Afghanistan
414x736	Mobile Safari	11	Mobile	iPhone	iOS	11.2.5	Mozilla/5.0 (iPhone CPU iPhone OS 11_2_5 like Mac OS X) AppleWebKit/604.5.6 (KHTML like Gecko) Version/11.0 Mobile/15D60 Safari/604.1	search_traffic	2	No		FALSE	2018-03-29T07:20:13	en-us	https://www.mastersportal.com/articles/406/write-a-successful-motivation-letter-for-your-masters.html	https://www.google.fr/	Saint-maur-des-foss?s	Ile-de-France	France
412x732	Chrome Mobile	65.0.3325	Mobile	Generic Smartphone	Android	8	Mozilla/5.0 (Linux Android 8.0.0 Build/OPR6.170623.013) AppleWebKit/537.36 (KHTML like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36	direct_traffic	2	No		TRUE	2018-03-29T07:20:11	en-us	https://www.mastersportal.com/universities/9612/delft-university-of-technology.html		Bangalore	Karnataka	India
